OBJECTID,SSL,LAND_USE_CODE,LAND_USE_DESCRIPTION,LANDAREA,PROPERTY_ADDRESS,OWNER_NAME_PRIMARY,APPRAISED_VALUE_PRIOR_LAND,APPRAISED_VALUE_PRIOR_IMPR,APPRAISED_VALUE_PRIOR_TOTAL,APPRAISED_VALUE_PROPOSED_LAND,APPRAISED_VALUE_PROPOSED_IMPR,APPRAISED_VALUE_PROPOSED_TOTAL,APPRAISED_VALUE_CURRENT_LAND,APPRAISED_VALUE_CURRENT_BLDG,VACANT_USE,HOMESTEAD_CODE,HOMESTEAD_DESCRIPTION,TAX_TYPE_DESCRIPTION,TAXRATE,MIXED_USE,OWNER_OCCUPIED_COOP_UNITS,LAST_SALE_PRICE,LAST_SALE_DATE,DEED_DATE,CURRENT_ASSESSMENT_CAP,PROPOSED_ASSESSMENT_CAP,OWNER_NAME_SECONDARY,ADDRESS_ID,LASTMODIFIEDDATE,APPRAISED_VALUE_CURRENT_TOTAL
1,0245    0828,093,Vacant-Zoning Limits,124,13TH ST NW WASHINGTON DC 20005,UDR/K VENTURE MEMBER LLC,6810,0,6810,6810,0,6810,6810,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,9/3/2019 12:00:00 AM,9/3/2019 12:00:00 AM,6810,6810,,,1/27/2023 8:03:12 AM,6810
2,5880    0802,093,Vacant-Zoning Limits,4859,FREDERICK DOUGLASS CT SE WASHINGTON DC 20020,DISTRICT OF COLUMBIA HOUSING AUTHORITY,86150,0,86150,86150,0,86150,86150,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,86150,86150,,,1/27/2023 8:03:12 AM,86150
3,0612    0005,191,Vacant-True,16000,208 V ST SW WASHINGTON DC 20024,UNITED STATES OF AMERICA,5808000,0,5808000,5808000,0,5808000,5808000,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels betwee",1.77,,0,0,,,5808000,5808000,,301205,1/27/2023 8:03:12 AM,5808000
4,1177    0044,193,Vacant-Zoning Limits,6178,K ST NW WASHINGTON DC 20007,DISTRICT OF COLUMBIA,1247590,0,1247590,1247590,0,1247590,1247590,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1247590,1247590,,,1/27/2023 8:03:12 AM,1247590
5,1359    0871,191,Vacant-True,6581,4604 CLARK PL NW WASHINGTON DC 20007,UNITED STATES OF AMERICA,199080,0,199080,199080,0,199080,199080,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,199080,199080,,,1/27/2023 8:03:12 AM,199080
6,3648    1112,092,Vacant-With Permit,1100,423 BROOKLAND GROVE DR NE WASHINGTON DC 20017,DRP DC 1 LLC,94510,0,94510,149640,0,149640,149640,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,12000000,3/4/2021 12:00:00 AM,3/4/2021 12:00:00 AM,149640,149640,,,1/27/2023 8:03:12 AM,149640
7,5083    0805,091,Vacant-True,3890,NE WASHINGTON DC 00000,UNITED STATES OF AMERICA,36370,0,36370,36370,0,36370,36370,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,36370,36370,,,1/27/2023 8:03:12 AM,36370
8,5138    0023,093,Vacant-Zoning Limits,2875,BLAINE ST NE WASHINGTON DC 20019,"COOK, BILLIE",13970,0,13970,13970,0,13970,13970,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,8/4/2000 12:00:00 AM,8/4/2000 12:00:00 AM,13970,13970,"COOK, REGINALD T",70093,1/27/2023 8:03:12 AM,13970
9,5745    0058,191,Vacant-True,14223,SE WASHINGTON DC 00000,UNITED STATES OF AMERICA,562800,0,562800,562800,0,562800,562800,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,562800,562800,,,1/27/2023 8:03:12 AM,562800
10,5351    0819,093,Vacant-Zoning Limits,188,SE WASHINGTON DC 00000,"RICHMOND, G H",830,0,830,850,0,850,840,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,840,850,,,1/27/2023 8:03:12 AM,840
11,0100    0902,191,Vacant-True,282,20TH ST NW WASHINGTON DC 20036,2000 M STREET NW GROUND OWNER LLC,23980,0,23980,23980,0,23980,23980,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,36000000,12/17/2020 12:00:00 AM,12/17/2020 12:00:00 AM,23980,23980,,,1/27/2023 8:03:12 AM,23980
12,0575    0819,191,Vacant-True,21469,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,26594510,0,26594510,26594510,0,26594510,26594510,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,26594510,26594510,,,1/27/2023 8:03:12 AM,26594510
